Title,URL,Document ID,Authors,Conference/Journal,Year,Code Link,Code Context
Transportation Economic Management Strategy of Cold Chain Transportation Industry Based on ABC-ACO Algorithm,https://ieeexplore.ieee.org/document/9974014/,9974014,Tong Wu; ,"2022 International Conference on Data Analytics, Computing and Artificial Intelligence (ICDACAI)",2022,,
Smart City and Intelligent Upgrading of Urban Transportation System: based on Sustainable Investment Strategy,https://ieeexplore.ieee.org/document/10047675/,10047675,Jun Qiao; ,"2022 Second International Conference on Advanced Technologies in Intelligent Control, Environment, Computing & Communication Engineering (ICATIECE)",2022,,
Resource Allocation Optimization for Airport Landside Multi-modal Transportation: A Simulation Case Study in Beijing Daxing International Airport,https://ieeexplore.ieee.org/document/10101452/,10101452,Xinghao Lou; Ailing Huang; Yufei Yuan; Mingjie Li; ; ; ; ,2022 IEEE 7th International Conference on Intelligent Transportation Engineering (ICITE),2022,,
Construction of autonomous transportation system architecture based on system engineering methodology,https://ieeexplore.ieee.org/document/9921842/,9921842,Zi-sheng Zhou; Ming Cai; Chen Xiong; Zhuo-lin Deng; Yuezhao Yu; ; ; ; ; ,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),2022,,
Empty Container Allocation and Transshipment in Road-Rail Transportation Network,https://ieeexplore.ieee.org/document/9970786/,9970786,Mingzhu Yu; Zhishan Yu; Bo Jin; Junfeng Wu; ; ; ; ,2022 IEEE International Symposium on Product Compliance Engineering - Asia (ISPCE-ASIA),2022,,
Smart Transportation- A Futuristic Intelligent Mobility Approach towards Smarter Cities,https://ieeexplore.ieee.org/document/9989297/,9989297,Akhilesh Kumar Singh; Damodar Reddy Edla; ; ,"2022 IEEE 4th International Conference on Cybernetics, Cognition and Machine Learning Applications (ICCCMLA)",2022,,
Optimization of construction waste transportation path for urban roads based on ECEA algorithm,https://ieeexplore.ieee.org/document/9873803/,9873803,Zhang Eryue; Jingyan Qi; ; ,"2022 IEEE 4th International Conference on Power, Intelligent Computing and Systems (ICPICS)",2022,,
Optimal Solutions of the Bulk Transportation Problem with Two Criteria and Two Modes of Transportation,https://ieeexplore.ieee.org/document/9752068/,9752068,Sudhir Kumar Chauhan; Renu Tuli; Nidhi Sindhwani; Pallavi Khanna; ; ; ; ,2022 International Mobile and Embedded Technology Conference (MECON),2022,,
Distribution Path Optimization for Intelligent Logistics Vehicles of Urban Rail Transportation Using VRP Optimization Model,https://ieeexplore.ieee.org/document/9523511/,9523511,Kaijun Leng; Shanghong Li; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Multiagent Reinforcement Learning-Based Signal Planning for Resisting Congestion Attack in Green Transportation,https://ieeexplore.ieee.org/document/9743567/,9743567,Yike Li; Wenjia Niu; Yunzhe Tian; Tong Chen; Zhiqiang Xie; Yalun Wu; Yingxiao Xiang; Endong Tong; Thar Baker; Jiqiang Liu; ; ; ; ; ; ; ; ; ; ,IEEE Transactions on Green Communications and Networking,2022,,
